Order Date,Ship Date,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
03-01-2024,06-01-2024,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.91
03-01-2024,06-01-2024,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,731.94,3,0,219.58
06-01-2024,08-01-2024,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.87
09-01-2024,14-01-2024,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03
11-01-2024,18-01-2024,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52
13-01-2024,15-01-2024,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.55,3,0.2,5.44
15-01-2024,23-01-2024,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,407.98,3,0.2,132.59
17-01-2024,22-01-2024,HP-14815,Harold Pawlan,Consumer,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,Holmes HEPA Air Purifier,68.81,5,0.8,-123.86
20-01-2024,26-01-2024,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Retained Key Guardian Security Box,21.78,4,0.8,-7.64
22-01-2024,26-01-2024,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10004186,Office Supplies,Storage,Fellowes Super Stor/Drawer,6.16,2,0,2.46
05-02-2024,07-02-2024,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10002033,Technology,Phones,Motorola Smart Phone Full Size,2116.15,3,0.3,633.81
08-02-2024,11-02-2024,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-EN-10001509,Office Supplies,Envelopes,#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes,15.76,3,0.2,3.94
